book_id,authors,author_id
1,Suzanne Collins,1
2,J.K. Rowling,2
3,Stephenie Meyer,3
4,Harper Lee,4
5,F. Scott Fitzgerald,5
6,John Green,6
7,J.R.R. Tolkien,7
8,J.D. Salinger,8
9,Dan Brown,9
10,Jane Austen,10
11,Khaled Hosseini,11
12,Veronica Roth,12
13,George Orwell,13
14,George Orwell,13
15,Anne Frank,15
16,Stieg Larsson,16
17,Suzanne Collins,1
18,J.K. Rowling,2
19,J.R.R. Tolkien,7
20,Suzanne Collins,1
21,J.K. Rowling,2
22,Alice Sebold,22
23,J.K. Rowling,2
24,J.K. Rowling,2
25,J.K. Rowling,2
26,Dan Brown,9
27,J.K. Rowling,2
28,William Golding,28
29,William Shakespeare,29
30,Gillian Flynn,30
31,Kathryn Stockett,31
32,John Steinbeck,32
33,Arthur Golden,33
34,E.L. James,34
35,Paulo Coelho,35
36,Lois Lowry,36
37,C.S. Lewis,37
38,Audrey Niffenegger,38
39,George R.R. Martin,39
40,Elizabeth Gilbert,40
41,Rick Riordan,41
42,Louisa May Alcott,42
43,Charlotte Brontë,43
44,Nicholas Sparks,44
45,Yann Martel,45
46,Sara Gruen,46
47,Markus Zusak,47
48,Ray Bradbury,48
49,Stephenie Meyer,3
50,Shel Silverstein,50
51,Cassandra Clare,51
52,Stephenie Meyer,3
53,Christopher Paolini,53
54,Douglas Adams,54
55,Aldous Huxley,55
56,Stephenie Meyer,3
57,Sue Monk Kidd,57
58,Mark Twain,58
59,E.B. White,59
60,Mark Haddon,60
61,Paula Hawkins,61
62,Philip Pullman,62
63,Emily Brontë,63
64,Jodi Picoult,64
65,Kurt Vonnegut Jr.,65
66,Margaret Mitchell,66
67,Khaled Hosseini,11
68,Stephen Chbosky,68
69,Veronica Roth,12
70,Orson Scott Card,70
71,Mary Wollstonecraft Shelley,71
72,Stephen King,72
73,Stephenie Meyer,3
74,John Green,6
75,Helen Fielding,75
76,Jane Austen,10
77,Louis Sachar,77
78,Lauren Weisberger,78
79,Homer,79
80,Antoine de Saint-Exupéry,80
81,Jeannette Walls,81
82,Jon Krakauer,82
83,Charles Dickens,83
84,Michael Crichton,84
85,Shel Silverstein,50
86,John Grisham,86
87,Elie Wiesel,87
88,John Green,6
89,William Goldman,89
90,S.E. Hinton,90
91,James Dashner,91
92,Steven D. Levitt,92
93,Frances Hodgson Burnett,93
94,Gabriel García Márquez,94
95,Oscar Wilde,95
96,E.L. James,34
97,Bram Stoker,97
98,Stieg Larsson,16
99,E.L. James,34
100,Barbara Kingsolver,100
101,David Sedaris,101
102,Maurice Sendak,102
103,Alexandre Dumas,103
104,Cormac McCarthy,104
105,Veronica Roth,12
106,Tina Fey,106
107,Nicholas Sparks,44
108,Sophie Kinsella,108
109,Victor Hugo,109
110,George R.R. Martin,39
111,Kim Edwards,111
112,Jojo Moyes,112
113,Joseph Heller,113
114,Mitch Albom,114
115,Jeffrey Eugenides,115
116,Mark Twain,58
117,Madeleine L'Engle,117
118,Amy Tan,118
119,Margaret Atwood,119
120,Ann Brashares,120
121,Vladimir Nabokov,121
122,Gregory Maguire,122
123,John Grisham,86
124,Emma Donoghue,124
125,William Shakespeare,29
126,Frank Herbert,126
127,Malcolm Gladwell,127
128,Walter Isaacson,128
129,Ken Kesey,129
130,Ernest Hemingway,130
131,John Steinbeck,32
132,Mitch Albom,114
133,L.M. Montgomery,133
134,Cassandra Clare,51
135,George R.R. Martin,39
136,Rebecca Wells,136
137,Diana Gabaldon,137
138,Nathaniel Hawthorne,138
139,Ransom Riggs,139
140,Stieg Larsson,16
141,Andy Weir,141
142,Ken Follett,142
143,Anthony Doerr,143
144,Laura Hillenbrand,144
145,Dan Brown,9
146,Donna Tartt,146
147,Jay Asher,147
148,Tracy Chevalier,148
149,Gayle Forman,149
150,Anita Diamant,150
151,Rick Riordan,41
152,Nicholas Sparks,44
153,Cassandra Clare,51
154,William Shakespeare,29
155,J.R.R. Tolkien,7
156,Emily Giffin,156
157,Dr. Seuss,157
158,Roald Dahl,158
159,Rick Riordan,41
160,Charles Dickens,83
161,J.R.R. Tolkien,7
162,Albert Camus,162
163,Rick Riordan,41
164,Rainbow Rowell,164
165,George R.R. Martin,39
166,Ally Condie,166
167,Neil Gaiman,167
168,Stephen King,72
169,Nicholas Sparks,44
170,Dan Brown,9
171,Jane Austen,10
172,Leo Tolstoy,172
173,Anthony Burgess,173
174,William Paul Young,174
175,Rick Riordan,41
176,Stephen King,72
